ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y
1997.3.2,1997,3 Wild Spaces  two of three,Andrew Dufford,Etched Granite,Goldsmith Gulch 3 locations,On Pathway,,3167752.697,1665535.099
1997.3.3,1997,3 Wild Spaces  three of three,Andrew Dufford,Etched Granite,Goldsmith Gulch 3 locations,On Pathway,,3167791.011,1666948.482
2006.28.1,2006,Forgotten Landscapes,Shannon Kelly,Video Installation,Colorado Convention Center Hotel Hyatt,Exterior facing 15th St,,3142496.623,1696208.897
1913.1.1,1913,The Pied Piper of Hamelin,Dudley Carpenter,Oil Painting on Canvas,Decker Branch Library,,,3145483.088,1676314.657
1913.2.1,1913,King Arthur Recovering the Magic Sword Excalibur,Dudley Carpenter,Oil Painting on Canvas,Decker Branch Library,,,3145471.804,1676318.997
1913.3.1,1913,There is No Frigate Like a Book,Marie Woodson,Oil Painting on Canvas,Decker Branch Library,,,3145495.241,1676314.657
1919.1.1,1919,Dennis Sullivan Gateway Agriculture and Mining,Leo Lentelli,Stone,East High School ,Esplanade and Colfax,,3152705.75,1695169.25
1920.1.1,1920,The Trapper,Allen True,Oil Painting on Canvas,Civic Center Park,Greek Theatre,,3143764.885,1694154.024
1961.3.1,1961,The Bermese Nebula,Vance Kirkland ,"Oil,water, and gold on linen",Temple Buell Theatre Lobby,,On Loan from the Kirkland Museum.,3141183.212,1696442.229
1972.1.1,1972,Valedictorian,Abe Vigil,Painted Wood and Metal Sculpture,Governors Park,,,3145817.747,1690362.036
1975.5.1,1975,Metal Screen Sculpture,Vincent OBrien,"Metal, stained glass, machine parts.",Hampden Branch Library,,,3176109.817,1663912.579
1978.2.1,1978,La Alma Mural,Emanuel Martinez,Mural,La Alma Recreation Center,,,3139344.472,1692606.647
1980.4.1,1980,La Familia Cosmica,Jerry Jaramillo,Mural,La Familia Recreation Center,On Wall in Indoor Pool,,3142251.651,1685889.124
2003.17.1,2003,The Yearling,Donald Lipski,Steel  Fiberglass,Denver Public Library,Childrens Lawn,,3143882.778,1694032.009
1981.1.1,1981,At the Library,Barry Rose,Ceramic Tiles,Denver Public Library,Central Branch Exterior,,3143988.517,1694108.82
1982.1.1,1982,Kenneth Mackenzie MacIntosh,Dane Romberger,Bronze,Wellington E Webb Municipal Building,MacIntosh Plaza,,3143641.371,1695118.335
1988.3.1,1988,"Brown Flowers, the Mestizo People",Carlota Espinoza,Mural,Denver Department of Social Services,,,3133816.856,1693063.283
1989.1.1,1989,Beatrix Potter Characters,Jo Ehr ,Painting,Athmar Branch Library, ,,3136897.215,1679163.189
1993.1.2,1993,Beginning of a Century,Susan Cooper,Oil on Sculpted Wood,City and County Building,,,3143168.535,1694579.662
2003.18.1,2003,World Family,Bob Luna & Martha Keating,Ceramic Murals,Family Crisis Center,Interior,,3133903.352,1692387.675
2003.19.1,2003,Color Wind,George Peters and Melanie Walker,Powder coated Aluminum,Family Crisis Center,Exterior,,3133888.829,1692386.465
2003.20.1,2003,Portal Achway,Stephen Morath,Painted Steel,Family Crisis Center,Exterior,,3133890.039,1692408.251
2003.20.1,2003,Portal Achway,Stephen Morath,Painted Steel,Family Crisis Center,Exterior,,3133888.829,1692431.248
2003.22.1,2003,"Bird House, Light House and Tree House",Sandy Toland,Ceramic and plywood murals,Family Crisis Center,Lobby Area,,3133926.348,1692433.669
2003.25.1,2003,Portrait of William Scheitler,Steve Altman,Acrylic Painting,Scheitler Recreation Center,,,3126081.625,1709795.186
